zip_code,city,state,territory_id
00921,"SAN JUAN",PR,ID203B08
00922,"SAN JUAN",PR,ID203B08
00923,"SAN JUAN",PR,ID203B08
00924,"SAN JUAN",PR,ID203B08
00925,"SAN JUAN",PR,ID203B08
00926,"SAN JUAN",PR,ID203B08
00927,"SAN JUAN",PR,ID203B08
00928,"SAN JUAN",PR,ID203B08
00929,"SAN JUAN",PR,ID203B08
00930,"SAN JUAN",PR,ID203B08
00931,"SAN JUAN",PR,ID203B08
00933,"SAN JUAN",PR,ID203B08
00934,"FORT BUCHANAN",PR,ID203B08
00935,"SAN JUAN",PR,ID203B08
00936,"SAN JUAN",PR,ID203B08
00937,"SAN JUAN",PR,ID203B08
00939,"SAN JUAN",PR,ID203B08
00940,"SAN JUAN",PR,ID203B08
00949,"TOA BAJA",PR,ID203B08
00950,"TOA BAJA",PR,ID203B08
00951,"TOA BAJA",PR,ID203B08
00952,"SABANA SECA",PR,ID203B08
00953,"TOA ALTA",PR,ID203B08
00954,"TOA ALTA",PR,ID203B08
00955,"SAN JUAN",PR,ID203B08
00956,BAYAMON,PR,ID203B08
00957,BAYAMON,PR,ID203B08
00958,BAYAMON,PR,ID203B08
00959,BAYAMON,PR,ID203B08
00960,BAYAMON,PR,ID203B08
00961,BAYAMON,PR,ID203B08
00962,CATANO,PR,ID203B08
00963,CATANO,PR,ID203B08
00965,GUAYNABO,PR,ID203B08
00966,GUAYNABO,PR,ID203B08
00968,GUAYNABO,PR,ID203B08
00969,GUAYNABO,PR,ID203B08
00970,GUAYNABO,PR,ID203B08
00971,GUAYNABO,PR,ID203B08
00974,GUAYNABO,PR,ID203B08
00975,"SAN JUAN",PR,ID203B08
00976,"TRUJILLO ALTO",PR,ID203B08
00977,"TRUJILLO ALTO",PR,ID203B08
00978,"SAINT JUST",PR,ID203B08
00979,CAROLINA,PR,ID203B08
00981,CAROLINA,PR,ID203B08
00982,CAROLINA,PR,ID203B08
00983,CAROLINA,PR,ID203B08
00984,CAROLINA,PR,ID203B08
00985,CAROLINA,PR,ID203B08
00986,CAROLINA,PR,ID203B08
00987,CAROLINA,PR,ID203B08
00988,CAROLINA,PR,ID203B08
01000,AGAWAM,MA,ID101B07
01001,AGAWAM,MA,ID101B07
01002,AMHERST,MA,ID101B07
01003,AMHERST,MA,ID101B07
01004,AMHERST,MA,ID101B07
01005,BARRE,MA,ID101B07
01007,BELCHERTOWN,MA,ID101B07
01008,BLANDFORD,MA,ID101B07
01009,BONDSVILLE,MA,ID101B07
01010,BRIMFIELD,MA,ID101B07
01011,CHESTER,MA,ID101B07
01012,CHESTERFIELD,MA,ID101B07
01013,CHICOPEE,MA,ID101B07
01014,CHICOPEE,MA,ID101B07
01015,BRIMFIELD,MA,ID101B07
01020,CHICOPEE,MA,ID101B07
01021,CHICOPEE,MA,ID101B07
01022,CHICOPEE,MA,ID101B07
01026,CUMMINGTON,MA,ID101B07
01027,EASTHAMPTON,MA,ID101B07
01028,"EAST LONGMEADOW",MA,ID101B07
01029,"EAST OTIS",MA,ID101B07
01030,"FEEDING HILLS",MA,ID101B07
01031,GILBERTVILLE,MA,ID101B07
01032,GOSHEN,MA,ID101B07
01033,GRANBY,MA,ID101B07
01034,GRANVILLE,MA,ID101B07
01035,HADLEY,MA,ID101B07
01036,HAMPDEN,MA,ID101B07
01037,HARDWICK,MA,ID101B07
01038,HATFIELD,MA,ID101B07
01039,HAYDENVILLE,MA,ID101B07
01040,HOLYOKE,MA,ID101B07
01041,HOLYOKE,MA,ID101B07
01050,HUNTINGTON,MA,ID101B07
01053,LEEDS,MA,ID101B07
01054,LEVERETT,MA,ID101B07
01056,LUDLOW,MA,ID101B07
01057,MONSON,MA,ID101B07
01059,"NORTH AMHERST",MA,ID101B07
01060,NORTHAMPTON,MA,ID101B07
01061,NORTHAMPTON,MA,ID101B07
01062,FLORENCE,MA,ID101B07
01063,NORTHAMPTON,MA,ID101B07
01066,"NORTH HATFIELD",MA,ID101B07
01068,OAKHAM,MA,ID101B07
01069,PALMER,MA,ID101B07
01070,PLAINFIELD,MA,ID101B07
01071,RUSSELL,MA,ID101B07
01072,SHUTESBURY,MA,ID101B07
01073,SOUTHAMPTON,MA,ID101B07
01074,"SOUTH BARRE",MA,ID101B07
01075,"SOUTH HADLEY",MA,ID101B07
01077,SOUTHWICK,MA,ID101B07
01079,THORNDIKE,MA,ID101B07
01080,"THREE RIVERS",MA,ID101B07
01081,WALES,MA,ID101B07
01082,WARE,MA,ID101B07
01083,WARREN,MA,ID101B07
01084,"WEST CHESTERFIELD",MA,ID101B07
01085,WESTFIELD,MA,ID101B07
01086,WESTFIELD,MA,ID101B07
01088,"WEST HATFIELD",MA,ID101B07
01089,"WEST SPRINGFIELD",MA,ID101B07
01090,"WEST SPRINGFIELD",MA,ID101B07
01092,"WEST WARREN",MA,ID101B07
01093,WHATELY,MA,ID101B07
01094,WHEELWRIGHT,MA,ID101B07
01095,WILBRAHAM,MA,ID101B07
01096,WILLIAMSBURG,MA,ID101B07
01097,WORONOCO,MA,ID101B07
01098,WORTHINGTON,MA,ID101B07
01101,SPRINGFIELD,MA,ID101B07
01102,SPRINGFIELD,MA,ID101B07
01103,SPRINGFIELD,MA,ID101B07
01104,SPRINGFIELD,MA,ID101B07
01105,SPRINGFIELD,MA,ID101B07
01106,LONGMEADOW,MA,ID101B07
01107,SPRINGFIELD,MA,ID101B07
01108,SPRINGFIELD,MA,ID101B07
01109,SPRINGFIELD,MA,ID101B07
01111,SPRINGFIELD,MA,ID101B07
01115,SPRINGFIELD,MA,ID101B07
01116,LONGMEADOW,MA,ID101B07
01118,SPRINGFIELD,MA,ID101B07
01119,SPRINGFIELD,MA,ID101B07
01128,SPRINGFIELD,MA,ID101B07
01129,SPRINGFIELD,MA,ID101B07
01133,SPRINGFIELD,MA,ID101B07
01138,SPRINGFIELD,MA,ID101B07
01139,SPRINGFIELD,MA,ID101B07
01144,SPRINGFIELD,MA,ID101B07
01151,"INDIAN ORCHARD",MA,ID101B07
01152,SPRINGFIELD,MA,ID101B07
01195,SPRINGFIELD,MA,ID101B07
01196,SPRINGFIELD,MA,ID101B07
01199,SPRINGFIELD,MA,ID101B07
01200,PITTSFIELD,MA,ID101B07
01201,PITTSFIELD,MA,ID101B07
01202,PITTSFIELD,MA,ID101B07
01203,PITTSFIELD,MA,ID101B07
01220,ADAMS,MA,ID101B07
01221,ADAMS,MA,ID101B07
01222,"ASHLEY FALLS",MA,ID101B07
01223,BECKET,MA,ID101B07
01224,BERKSHIRE,MA,ID101B07
01225,CHESHIRE,MA,ID101B07
01226,DALTON,MA,ID101B07
01227,DALTON,MA,ID101B07
01229,GLENDALE,MA,ID101B07
01230,"GREAT BARRINGTON",MA,ID101B07
01235,HINSDALE,MA,ID101B07
01236,HOUSATONIC,MA,ID101B07
01237,LANESBORO,MA,ID101B07
01238,LEE,MA,ID101B07
01240,LENOX,MA,ID101B07
01242,"LENOX DALE",MA,ID101B07
01243,MIDDLEFIELD,MA,ID101B07
01244,"MILL RIVER",MA,ID101B07
01245,MONTEREY,MA,ID101B07
01247,"NORTH ADAMS",MA,ID101B07
01252,"NORTH EGREMONT",MA,ID101B07
01253,OTIS,MA,ID101B07
01254,RICHMOND,MA,ID101B07
01255,SANDISFIELD,MA,ID101B07
01256,SAVOY,MA,ID101B07
01257,SHEFFIELD,MA,ID101B07
01258,"SOUTH EGREMONT",MA,ID101B07
01259,SOUTHFIELD,MA,ID101B07
01260,"SOUTH LEE",MA,ID101B07
01262,STOCKBRIDGE,MA,ID101B07
01263,STOCKBRIDGE,MA,ID101B07
01264,TYRINGHAM,MA,ID101B07
01266,"WEST STOCKBRIDGE",MA,ID101B07
01267,WILLIAMSTOWN,MA,ID101B07
01270,WINDSOR,MA,ID101B07
01290,"GREAT BARRINGTON",MA,ID101B07
01300,GREENFIELD,MA,ID101B07
01301,GREENFIELD,MA,ID101B07
01302,GREENFIELD,MA,ID101B07
01309,GREENFIELD,MA,ID101B07
01330,ASHFIELD,MA,ID101B07
01331,ATHOL,MA,ID101B07
01337,BERNARDSTON,MA,ID101B07
01338,BUCKLAND,MA,ID101B07
01339,CHARLEMONT,MA,ID101B07
01340,COLRAIN,MA,ID101B07
01341,CONWAY,MA,ID101B07
01342,DEERFIELD,MA,ID101B07
01343,DRURY,MA,ID101B07
01344,ERVING,MA,ID101B07
01346,HEATH,MA,ID101B07
01347,"LAKE PLEASANT",MA,ID101B07
01349,"MILLERS FALLS",MA,ID101B07
